# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.01.2023 по 31.01.2023, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"23.01.2023 18:00";"-2.3";"766.6";"781.1";"-0.4";"80";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"13.0";"-5.3";"0.1";"12";"";"";"";"";
"23.01.2023 15:00";"-2.7";"767.0";"781.6";"-0.3";"77";"Ветер, дующий с юга";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"12.0";"-6.2";"";"";"";"";"";"";
"23.01.2023 12:00";"-3.4";"767.3";"782.0";"0.4";"87";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Снежные зерна (с туманом или без него). ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.1";"-5.3";"";"";"";"";"";"";
"23.01.2023 09:00";"-3.2";"766.9";"781.6";"0.6";"86";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";" ";"";"";"-3.3";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"14.0";"-5.3";"Следы осадков";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"23.0";
"23.01.2023 06:00";"-3.2";"766.3";"780.9";"0.2";"87";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";" ";"";"";"-3.3";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"13.0";"-5.1";"Следы осадков";"12";"";"";"";"";
"23.01.2023 03:00";"-3.0";"766.1";"780.7";"0.4";"87";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"11.0";"-4.9";"";"";"";"";"";"";
"23.01.2023 00:00";"-2.7";"765.7";"780.3";"0.6";"86";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-4.8";"";"";"";"";"";"";
"22.01.2023 21:00";"-2.5";"765.1";"779.7";"0.5";"86";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-2.0";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"8.0";"-4.6";"Следы осадков";"12";"";"";"";"";
"22.01.2023 18:00";"-2.3";"764.6";"779.2";"0.7";"84";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-4.7";"Осадков нет";"12";"";"";"";"";
"22.01.2023 15:00";"-2.0";"763.9";"778.5";"0.3";"83";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-4.6";"";"";"";"";"";"";
"22.01.2023 12:00";"-2.6";"763.6";"778.2";"1.6";"83";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-5.2";"";"";"";"";"";"";
"22.01.2023 09:00";"-3.7";"762.0";"776.6";"0.8";"79";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-4.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"15.0";"-6.8";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"23.0";
"22.01.2023 06:00";"-4.4";"761.2";"775.8";"0.2";"78";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"-4.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"18.0";"-7.7";"Осадков нет";"12";"";"";"";"";
"22.01.2023 03:00";"-4.5";"761.0";"775.6";"0.4";"73";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"-8.6";"";"";"";"";"";"";
"22.01.2023 00:00";"-4.5";"760.6";"775.2";"0.3";"69";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"-9.3";"";"";"";"";"";"";
"21.01.2023 21:00";"-4.0";"760.3";"774.9";"0.0";"67";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"-1.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"-9.2";"Осадков нет";"12";"";"";"";"";
"21.01.2023 18:00";"-2.9";"760.3";"774.8";"0.0";"62";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"20.0";"-9.3";"Осадков нет";"12";"";"";"";"";
"21.01.2023 15:00";"-2.2";"760.3";"774.7";"-0.2";"65";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"-7.9";"";"";"";"";"";"";
"21.01.2023 12:00";"-1.9";"760.5";"775.0";"0.8";"66";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"-7.4";"";"";"";"";"";"";
"21.01.2023 09:00";"-2.0";"759.7";"774.1";"1.5";"68";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"-2.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-7.1";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"23.0";
"21.01.2023 06:00";"-0.5";"758.2";"772.6";"1.2";"68";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"-0.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"-5.7";"Осадков нет";"12";"";"";"";"";
"21.01.2023 03:00";"0.4";"757.0";"771.3";"1.6";"77";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"18.0";"-3.2";"";"";"";"";"";"";
"21.01.2023 00:00";"2.2";"755.4";"769.6";"1.6";"78";"Ветер, дующий с юго-юго-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"12.0";"-1.2";"";"";"";"";"";"";
"20.01.2023 21:00";"2.9";"753.8";"767.8";"1.5";"76";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"4.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"14.0";"-1.0";"Осадков нет";"12";"";"";"";"";
"20.01.2023 18:00";"3.5";"752.3";"766.3";"1.1";"77";"Ветер, дующий с юго-юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"14.0";"-0.2";"Осадков нет";"12";"";"";"";"";
"20.01.2023 15:00";"4.1";"751.2";"765.1";"0.6";"77";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"12.0";"0.3";"";"";"";"";"";"";
"20.01.2023 12:00";"3.4";"750.6";"764.5";"0.8";"80";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"10.0";"0.2";"";"";"";"";"";"";
"20.01.2023 09:00";"3.1";"749.8";"763.7";"0.8";"83";"Ветер, дующий с юго-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"1.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.4";"0.9";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"25.0";
"20.01.2023 06:00";"2.9";"749.0";"763.0";"0.2";"87";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дымка. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"1.0";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"8.0";"0.9";"2.0";"12";"";"";"";"";
"20.01.2023 03:00";"2.3";"748.8";"762.8";"0.0";"91";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Морось незамерзающая с перерывами слабая в срок наблюдения. ";"Дождь.";"Морось.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"5.0";"1.0";"";"";"";"";"";"";
"20.01.2023 00:00";"1.4";"748.8";"762.8";"-0.4";"96";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Морось и дождь слабые. ";"Дождь.";"Морось.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"1.9";"0.8";"";"";"";"";"";"";
"19.01.2023 21:00";"1.0";"749.2";"763.3";"-0.9";"96";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"2.3";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.7";"0.4";"0.8";"12";"";"";"";"";
"19.01.2023 18:00";"1.3";"750.1";"764.1";"1.0";"94";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Морось незамерзающая с перерывами слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"3.0";"0.4";"0.3";"12";"";"";"";"";
"19.01.2023 15:00";"1.5";"749.1";"763.2";"0.2";"95";"Ветер, дующий с юго-востока";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"3.2";"0.8";"";"";"";"";"";"";
"19.01.2023 12:00";"2.3";"748.9";"762.9";"1.5";"93";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"7.0";"1.3";"";"";"";"";"";"";
"19.01.2023 09:00";"1.6";"747.4";"761.4";"1.2";"93";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дымка. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"-0.2";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"8.0";"0.5";"4.0";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"26.0";
"19.01.2023 06:00";"1.0";"746.2";"760.2";"-0.3";"93";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"-0.2";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"6.0";"0.0";"3.0";"12";"";"";"";"";
"19.01.2023 03:00";"1.0";"746.5";"760.5";"-0.9";"91";"Ветер, дующий с юго-юго-востока";"3";"";"10";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"8.0";"-0.3";"";"";"";"";"";"";
"19.01.2023 00:00";"0.6";"747.4";"761.5";"-0.9";"89";"Ветер, дующий с юго-востока";"3";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"4.8";"-1.1";"";"";"";"";"";"";
"18.01.2023 21:00";"-0.1";"748.3";"762.4";"0.2";"82";"Ветер, дующий с юго-востока";"3";"";"";"100%.";" ";"";"";"";"1.1";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"13.0";"-2.9";"Осадков нет";"12";"";"";"";"";
"18.01.2023 18:00";"1.0";"748.1";"762.2";"-0.4";"75";"Ветер, дующий с юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"17.0";"-2.9";"Осадков нет";"12";"";"";"";"";
"18.01.2023 15:00";"0.8";"748.5";"762.6";"0.0";"86";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"10.0";"-1.3";"";"";"";"";"";"";
"18.01.2023 12:00";"0.5";"748.5";"762.6";"0.6";"82";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"13.0";"-2.3";"";"";"";"";"";"";
"18.01.2023 09:00";"0.2";"747.9";"762.0";"1.1";"83";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.2";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"12.0";"-2.4";"0.3";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"26.0";
"18.01.2023 06:00";"0.1";"746.8";"760.9";"-0.3";"87";"Ветер, дующий с юго-юго-востока";"2";"";"12";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.2";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"10.0";"-1.9";"0.3";"12";"";"";"";"";
"18.01.2023 03:00";"0.0";"747.1";"761.2";"-0.2";"86";"Ветер, дующий с юго-юго-востока";"3";"";"12";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"10.0";"-2.1";"";"";"";"";"";"";
"18.01.2023 00:00";"0.4";"747.3";"761.4";"-0.1";"84";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"12.0";"-2.1";"";"";"";"";"";"";
"17.01.2023 21:00";"1.0";"747.4";"761.4";"0.0";"83";"Ветер, дующий с юго-юго-востока";"3";"";"11";"100%.";" ";"";"";"";"2.0";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"12.0";"-1.6";"1.0";"12";"";"";"";"";
"17.01.2023 18:00";"1.9";"747.4";"761.4";"-0.2";"80";"Ветер, дующий с юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"15.0";"-1.2";"2.0";"12";"";"";"";"";
"17.01.2023 15:00";"0.9";"747.6";"761.6";"-0.1";"88";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дымка. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"8.0";"-0.9";"";"";"";"";"";"";
"17.01.2023 12:00";"-0.8";"747.7";"761.8";"0.0";"96";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.3";"-1.4";"";"";"";"";"";"";
"17.01.2023 09:00";"-1.9";"747.7";"761.9";"0.1";"92";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.0";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-3.0";"0.4";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"25.0";
"17.01.2023 06:00";"-2.3";"747.6";"761.8";"-0.4";"92";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.0";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"9.0";"-3.5";"Следы осадков";"12";"";"";"";"";
"17.01.2023 03:00";"-2.6";"748.0";"762.2";"0.0";"91";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"4.1";"-3.9";"";"";"";"";"";"";
"17.01.2023 00:00";"-2.8";"748.0";"762.3";"0.2";"88";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"11.0";"-4.5";"";"";"";"";"";"";
"16.01.2023 21:00";"-2.9";"747.8";"762.1";"-0.1";"86";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-2.9";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"12.0";"-4.9";"Следы осадков";"12";"";"";"";"";
"16.01.2023 18:00";"-3.7";"747.9";"762.1";"0.2";"88";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"7.0";"-5.4";"Следы осадков";"12";"";"";"";"";
"16.01.2023 15:00";"-3.1";"747.7";"761.9";"-0.6";"82";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-5.7";"";"";"";"";"";"";
"16.01.2023 12:00";"-3.9";"748.3";"762.7";"0.0";"81";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"13.0";"-6.7";"";"";"";"";"";"";
"16.01.2023 09:00";"-3.8";"748.3";"762.7";"-0.6";"83";"Ветер, дующий с юго-юго-востока";"4";"";"11";"100%.";" ";"";"";"-3.8";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"13.0";"-6.3";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"25.0";
"16.01.2023 06:00";"-3.1";"748.9";"763.1";"-1.2";"82";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";" ";"";"";"-3.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"14.0";"-5.8";"Осадков нет";"12";"";"";"";"";
"16.01.2023 03:00";"-3.1";"750.1";"764.5";"-0.8";"79";"Ветер, дующий с юго-юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"14.0";"-6.2";"";"";"";"";"";"";
"16.01.2023 00:00";"-3.0";"750.9";"765.2";"-0.8";"79";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"17.0";"-6.1";"";"";"";"";"";"";
